Aula;Nome;Tópico;Curso;;;;
F74;Decision Trees (apresentação do exercício);Decision Trees;ML_PW;;;;
F75;Decision Trees (resolução do exercício);Decision Trees;ML_PW;;;;
F76;Projeto Final - Apresentação;Projeto Final;ML_PW;;;;
F77;Projeto Final - Proposta de Solução;Projeto Final;ML_PW;;;;
F78;Projeto Final - Power BI - Pré-processamento;Projeto Final;ML_PW;;;;
F79;Projeto Final - Power BI e R - Modelo;Projeto Final;ML_PW;;;;
F80;Projeto Final - Power BI e R - Previsões;Projeto Final;ML_PW;;;;
F81;Projeto Final - Power BI - Estrutura do Dashboard;Projeto Final;ML_PW;;;;
F82;Projeto Final - Power BI - Gráfico de Linhas;Projeto Final;ML_PW;;;;
F83;Projeto Final - Power BI - Gráfico de Barras;Projeto Final;ML_PW;;;;
F84;Projeto Final - Power BI - Gráfico de Barras Empilhadas;Projeto Final;ML_PW;;;;
F85;Projeto Final - Power BI - Dashboard Final;Projeto Final;ML_PW;;;;
